t,r,N_n,N_t,C_h,,t,r,N_n,N_t,C_h,pH,,error N_n,Error_ N_t,Error _C_H
46.2963,0.135,49246210.03,219789.9108,4.72E-08,,4008960,0.135,48931513.22,196642.5251,4.55E-08,7.068887906,,6.39E-01,1.05E+01,3.56E+00
46.2963,0.14,49298238.17,154937.3834,4.52E-08,,4008960,0.14,48978787.92,143118.8662,4.37E-08,7.078517593,,6.48E-01,7.63E+00,3.43E+00
46.2963,0.145,49345382.08,115513.4961,4.34E-08,,4008960,0.145,49022623.96,107761.4934,4.19E-08,7.087637637,,6.54E-01,6.71E+00,3.42E+00
46.2963,0.15,49389017.79,91590.65353,4.17E-08,,4008960,0.15,49063284.6,87510.9546,4.03E-08,7.096267924,,6.60E-01,4.45E+00,3.34E+00
46.2963,0.155,49428899.66,77084.42235,4.02E-08,,4008960,0.155,49101031.73,74491.09947,3.88E-08,7.104432542,,6.63E-01,3.36E+00,3.44E+00
46.2963,0.16,49466149.41,68290.3084,3.87E-08,,4008960,0.16,49136111.5,66946.34139,3.74E-08,7.112156933,,6.67E-01,1.97E+00,3.28E+00
46.2963,0.165,49500363.31,62959.5778,3.74E-08,,4008960,0.165,49168752.34,62188.54865,3.61E-08,7.119466683,,6.70E-01,1.22E+00,3.37E+00
46.2963,0.17,49532524.97,59728.23252,3.61E-08,,4008960,0.17,49199162.44,59395.84724,3.49E-08,7.126386588,,6.73E-01,5.56E-01,3.21E+00
46.2963,0.175,49562151.82,57769.47827,3.49E-08,,4008960,0.175,49227530.64,57659.4444,3.38E-08,7.13294028,,6.75E-01,1.90E-01,3.09E+00
46.2963,0.18,49590142.6,56582.08253,3.38E-08,,4008960,0.18,49254027.33,56629.15113,3.28E-08,7.139150001,,6.78E-01,8.32E-02,3.03E+00
46.2963,0.185,49615973.05,55862.27317,3.28E-08,,4008960,0.185,49278806.07,55994.86257,3.18E-08,7.145036561,,6.80E-01,2.37E-01,3.06E+00
46.2963,0.19,49640482.69,55425.89788,3.18E-08,,4008960,0.19,49302005.16,55615.5075,3.09E-08,7.150619344,,6.82E-01,3.42E-01,2.88E+00
46.2963,0.195,49663124.48,55161.34703,3.09E-08,,4008960,0.195,49323749.29,55383.48607,3.00E-08,7.155916375,,6.83E-01,4.03E-01,2.83E+00
46.2963,0.2,49684692.43,55000.95691,3.01E-08,,4008960,0.2,49344150.96,55243.97535,2.92E-08,7.160944402,,6.85E-01,4.42E-01,2.92E+00
46.2963,0.205,49704627.42,54903.71554,2.93E-08,,4008960,0.205,49363311.87,55158.99478,2.85E-08,7.165718984,,6.87E-01,4.65E-01,2.84E+00
46.2963,0.21,49723686.09,54844.75761,2.86E-08,,4008960,0.21,49381324.08,55107.72491,2.78E-08,7.170254581,,6.89E-01,4.79E-01,2.94E+00
46.2963,0.215,49741303.99,54809.01083,2.79E-08,,4008960,0.215,49398271.12,55076.56931,2.71E-08,7.17456464,,6.90E-01,4.88E-01,2.90E+00
46.2963,0.22,49758205.75,54787.33641,2.72E-08,,4008960,0.22,49414228.87,55057.73467,2.65E-08,7.178661679,,6.91E-01,4.94E-01,2.71E+00
46.2963,0.225,49773826.14,54774.19444,2.66E-08,,4008960,0.225,49429266.45,55046.30437,2.59E-08,7.18255736,,6.92E-01,4.97E-01,2.74E+00
46.2963,0.23,49788861.55,54766.22573,2.60E-08,,4008960,0.23,49443446.88,55039.38625,2.53E-08,7.186262558,,6.94E-01,4.99E-01,2.64E+00
46.2963,0.235,49802749.24,54761.39384,2.54E-08,,4008960,0.235,49456827.78,55035.19066,2.48E-08,7.189787425,,6.95E-01,5.00E-01,2.42E+00
46.2963,0.24,49816160.2,54758.4639,2.49E-08,,4008960,0.24,49469461.86,55032.64961,2.43E-08,7.193141449,,6.96E-01,5.01E-01,2.45E+00
46.2963,0.245,49828536.51,54756.68726,2.44E-08,,4008960,0.245,49481397.48,55031.10906,2.38E-08,7.196333501,,6.97E-01,5.01E-01,2.38E+00
46.2963,0.25,49840525.94,54755.60991,2.40E-08,,4008960,0.25,49492679.05,55030.17566,2.34E-08,7.199371887,,6.98E-01,5.01E-01,2.60E+00
46.2963,0.255,49851577.2,54754.95661,2.35E-08,,4008960,0.255,49503347.41,55029.60985,2.30E-08,7.20226439,,6.99E-01,5.02E-01,2.31E+00
46.2963,0.26,49862316.52,54754.56045,2.31E-08,,4008960,0.26,49513440.19,55029.26696,2.26E-08,7.205018306,,7.00E-01,5.02E-01,2.34E+00
46.2963,0.265,49872200.59,54754.32021,2.27E-08,,4008960,0.265,49522992.11,55029.05911,2.22E-08,7.207640484,,7.00E-01,5.02E-01,2.27E+00
46.2963,0.27,49881835.52,54754.17453,2.23E-08,,4008960,0.27,49532035.23,55028.93313,2.18E-08,7.210137356,,7.01E-01,5.02E-01,2.11E+00
46.2963,0.275,49890686.94,54754.08618,2.20E-08,,4008960,0.275,49540599.22,55028.85677,2.15E-08,7.212514968,,7.02E-01,5.02E-01,2.31E+00
46.2963,0.28,49899342,54754.03261,2.16E-08,,4008960,0.28,49548711.55,55028.81048,2.12E-08,7.214779005,,7.03E-01,5.02E-01,1.97E+00
46.2963,0.285,49907276.03,54754.00013,2.13E-08,,4008960,0.285,49556397.69,55028.78242,2.09E-08,7.216934819,,7.03E-01,5.02E-01,2.01E+00
46.2963,0.29,49915058.18,54753.98042,2.10E-08,,4008960,0.29,49563681.3,55028.76541,2.06E-08,7.218987449,,7.04E-01,5.02E-01,1.97E+00
46.2963,0.295,49922174.02,54753.96847,2.07E-08,,4008960,0.295,49570584.34,55028.7551,2.03E-08,7.220941644,,7.04E-01,5.02E-01,1.86E+00
46.2963,0.3,49929175.58,54753.96122,2.05E-08,,4008960,0.3,49577127.26,55028.74885,2.01E-08,7.22280188,,7.05E-01,5.02E-01,2.16E+00
46.2963,0.305,49935559,54753.95683,2.02E-08,,4008960,0.305,49583329.1,55028.74506,1.98E-08,7.22457238,,7.05E-01,5.02E-01,1.91E+00
46.2963,0.31,49941859.94,54753.95416,2.00E-08,,4008960,0.31,49589207.61,55028.74276,1.96E-08,7.226257132,,7.06E-01,5.02E-01,2.08E+00
46.2963,0.315,49947585.39,54753.95254,1.97E-08,,4008960,0.315,49594779.34,55028.74137,1.94E-08,7.227859897,,7.06E-01,5.02E-01,1.70E+00
46.2963,0.32,49953255.29,54753.95156,1.95E-08,,4008960,0.32,49600059.75,55028.74052,1.92E-08,7.229384233,,7.07E-01,5.02E-01,1.76E+00
46.2963,0.325,49958387.62,54753.95097,1.93E-08,,4008960,0.325,49605063.29,55028.74001,1.90E-08,7.230833498,,7.07E-01,5.02E-01,1.76E+00
46.2963,0.33,49963487.21,54753.95061,1.91E-08,,4008960,0.33,49609803.48,55028.7397,1.88E-08,7.232210871,,7.08E-01,5.02E-01,1.70E+00
46.2963,0.335,49968083.09,54753.95039,1.89E-08,,4008960,0.335,49614292.96,55028.73951,1.86E-08,7.233519355,,7.08E-01,5.02E-01,1.60E+00
46.2963,0.34,49972665.57,54753.95026,1.88E-08,,4008960,0.34,49618543.58,55028.7394,1.84E-08,7.234761796,,7.09E-01,5.02E-01,1.96E+00
46.2963,0.345,49976774.69,54753.95017,1.86E-08,,4008960,0.345,49622566.44,55028.73933,1.83E-08,7.235940883,,7.09E-01,5.02E-01,1.75E+00
46.2963,0.35,49980886.75,54753.95013,1.84E-08,,4008960,0.35,49626371.96,55028.73929,1.81E-08,7.237059166,,7.09E-01,5.02E-01,1.50E+00
46.2963,0.355,49984552.78,54753.9501,1.83E-08,,4008960,0.355,49629969.92,55028.73926,1.80E-08,7.238119056,,7.09E-01,5.02E-01,1.73E+00
46.2963,0.36,49988235.56,54753.95008,1.82E-08,,4008960,0.36,49633369.48,55028.73925,1.78E-08,7.239122842,,7.10E-01,5.02E-01,1.93E+00
46.2963,0.365,49991496.96,54753.95007,1.80E-08,,4008960,0.365,49636579.28,55028.73924,1.77E-08,7.240072688,,7.10E-01,5.02E-01,1.54E+00
46.2963,0.37,49994786.77,54753.95006,1.79E-08,,4008960,0.37,49639607.41,55028.73923,1.76E-08,7.240970649,,7.10E-01,5.02E-01,1.65E+00
46.2963,0.375,49997677.51,54753.95006,1.78E-08,,4008960,0.375,49642461.51,55028.73923,1.75E-08,7.241818672,,7.10E-01,5.02E-01,1.73E+00
46.2963,0.38,50000606.44,54753.95005,1.77E-08,,4008960,0.38,49645148.74,55028.73923,1.74E-08,7.242618601,,7.11E-01,5.02E-01,1.77E+00
46.2963,0.385,50003156.57,54753.95005,1.76E-08,,4008960,0.385,49647675.85,55028.73923,1.73E-08,7.243372188,,7.11E-01,5.02E-01,1.77E+00
46.2963,0.39,50005753.06,54753.95005,1.75E-08,,4008960,0.39,49650049.2,55028.73922,1.72E-08,7.244081093,,7.11E-01,5.02E-01,1.74E+00
46.2963,0.395,50007989.18,54753.95005,1.74E-08,,4008960,0.395,49652274.77,55028.73922,1.71E-08,7.244746891,,7.11E-01,5.02E-01,1.68E+00
46.2963,0.4,50010278.47,54753.95005,1.73E-08,,4008960,0.4,49654358.2,55028.73922,1.70E-08,7.245371076,,7.12E-01,5.02E-01,1.58E+00
46.2963,0.405,50012224.2,54753.95005,1.72E-08,,4008960,0.405,49656304.81,55028.73922,1.69E-08,7.245955065,,7.12E-01,5.02E-01,1.46E+00
46.2963,0.41,50014228.7,54753.95005,1.71E-08,,4008960,0.41,49658119.6,55028.73922,1.69E-08,7.246500205,,7.12E-01,5.02E-01,1.30E+00
46.2963,0.415,50015904.98,54753.95005,1.71E-08,,4008960,0.415,49659807.3,55028.73922,1.68E-08,7.24700777,,7.12E-01,5.02E-01,1.68E+00
46.2963,0.42,50017644.63,54753.95005,1.70E-08,,4008960,0.42,49661372.36,55028.73922,1.68E-08,7.247478973,,7.12E-01,5.02E-01,1.47E+00
46.2963,0.425,50019070.08,54753.95005,1.69E-08,,4008960,0.425,49662818.97,55028.73922,1.67E-08,7.247914961,,7.12E-01,5.02E-01,1.22E+00
46.2963,0.43,50020562.61,54753.95005,1.69E-08,,4008960,0.43,49664151.1,55028.73922,1.66E-08,7.248316825,,7.13E-01,5.02E-01,1.53E+00
46.2963,0.435,50021753.77,54753.95005,1.68E-08,,4008960,0.435,49665372.47,55028.73922,1.66E-08,7.248685599,,7.12E-01,5.02E-01,1.23E+00
46.2963,0.44,50023014.96,54753.95005,1.68E-08,,4008960,0.44,49666486.61,55028.73922,1.66E-08,7.249022264,,7.13E-01,5.02E-01,1.49E+00
46.2963,0.445,50023986.51,54753.95005,1.67E-08,,4008960,0.445,49667496.83,55028.73922,1.65E-08,7.24932775,,7.13E-01,5.02E-01,1.13E+00
46.2963,0.45,50025030.41,54753.95005,1.67E-08,,4008960,0.45,49668406.27,55028.73922,1.65E-08,7.249602938,,7.13E-01,5.02E-01,1.35E+00
46.2963,0.455,50025795.41,54753.95005,1.67E-08,,4008960,0.455,49669217.86,55028.73922,1.64E-08,7.249848665,,7.13E-01,5.02E-01,1.54E+00
46.2963,0.46,50026634.49,54753.95005,1.66E-08,,4008960,0.46,49669934.39,55028.73922,1.64E-08,7.250065723,,7.13E-01,5.02E-01,1.12E+00
46.2963,0.465,50027204.5,54753.95005,1.66E-08,,4008960,0.465,49670558.47,55028.73922,1.64E-08,7.250254862,,7.13E-01,5.02E-01,1.26E+00
46.2963,0.47,50027849.87,54753.95005,1.66E-08,,4008960,0.47,49671092.57,55028.73922,1.64E-08,7.250416794,,7.13E-01,5.02E-01,1.39E+00
46.2963,0.475,50028235.15,54753.95005,1.66E-08,,4008960,0.475,49671538.99,55028.73922,1.64E-08,7.250552191,,7.13E-01,5.02E-01,1.49E+00
46.2963,0.48,50028696.64,54753.95005,1.66E-08,,4008960,0.48,49671899.93,55028.73922,1.63E-08,7.250661689,,7.13E-01,5.02E-01,1.58E+00
46.2963,0.485,50028906.22,54753.95005,1.66E-08,,4008960,0.485,49672177.42,55028.73922,1.63E-08,7.250745892,,7.13E-01,5.02E-01,1.65E+00
46.2963,0.49,50029192.55,54753.95005,1.65E-08,,4008960,0.49,49672373.39,55028.73922,1.63E-08,7.250805367,,7.13E-01,5.02E-01,1.10E+00
46.2963,0.495,50029234.42,54753.95005,1.65E-08,,4008960,0.495,49672489.65,55028.73922,1.63E-08,7.250840652,,7.13E-01,5.02E-01,1.12E+00
46.2963,0.5,50029353.28,54753.95005,1.65E-08,,4008960,0.5,49672527.87,55028.73922,1.63E-08,7.250852255,,7.13E-01,5.02E-01,1.13E+00
57.87037,0,44026672.26,11460640.79,2.34E-07,,5002558,0,44172749.88,11483145.13,2.28E-07,6.572541103,,3.32E-01,1.96E-01,2.66E+00
57.87037,0.005,44030888.27,11460399.94,2.34E-07,,5002558,0.005,44179896.22,11482923.38,2.27E-07,6.573002679,,3.38E-01,1.97E-01,2.78E+00
57.87037,0.01,44045588.32,11459930.31,2.33E-07,,5002558,0.01,44195617.55,11482390.25,2.27E-07,6.574020015,,3.41E-01,1.96E-01,2.63E+00
57.87037,0.015,44068725.52,11458907.3,2.32E-07,,5002558,0.015,44220367.64,11481425.12,2.26E-07,6.575625883,,3.44E-01,1.97E-01,2.64E+00
57.87037,0.02,44102382.56,11457239.35,2.31E-07,,5002558,0.02,44254433.63,11479807.75,2.25E-07,6.577844489,,3.45E-01,1.97E-01,2.80E+00
57.87037,0.025,44144535.56,11454489.92,2.29E-07,,5002558,0.025,44297954.54,11477163.92,2.23E-07,6.580692699,,3.48E-01,1.98E-01,2.71E+00
57.87037,0.03,44197286.2,11450049.43,2.27E-07,,5002558,0.03,44351027.55,11472877.99,2.21E-07,6.58418689,,3.48E-01,1.99E-01,2.78E+00
57.87037,0.035,44258643.49,11442897.99,2.25E-07,,5002558,0.035,44413743.07,11465974.57,2.18E-07,6.588345111,,3.50E-01,2.02E-01,3.02E+00
57.87037,0.04,44330741.67,11431437.69,2.22E-07,,5002558,0.04,44486201.65,11454903.73,2.15E-07,6.593187953,,3.51E-01,2.05E-01,3.00E+00
57.87037,0.045,44411645.16,11413165.43,2.18E-07,,5002558,0.045,44568527.41,11437218.18,2.12E-07,6.598738939,,3.53E-01,2.11E-01,2.70E+00
57.87037,0.05,44503556.37,11384256.99,2.15E-07,,5002558,0.05,44660883.37,11409477.69,2.08E-07,6.605024671,,3.54E-01,2.22E-01,3.03E+00
57.87037,0.055,44604646.77,11338963.92,2.11E-07,,5002558,0.055,44763491.75,11366774.82,2.04E-07,6.612074782,,3.56E-01,2.45E-01,3.09E+00
57.87037,0.06,44717262.65,11268924.64,2.07E-07,,5002558,0.06,44876660.26,11301061.54,2.00E-07,6.619921599,,3.56E-01,2.85E-01,3.33E+00
57.87037,0.065,44839769.54,11162371.46,2.02E-07,,5002558,0.065,45000808.85,11202761.92,1.95E-07,6.628599339,,3.59E-01,3.62E-01,3.28E+00
57.87037,0.07,44974730.4,11003365.05,1.97E-07,,5002558,0.07,45136474.21,11059246.59,1.90E-07,6.638142883,,3.60E-01,5.08E-01,3.42E+00
57.87037,0.075,45120650.94,10770650.51,1.91E-07,,5002558,0.075,45284233.99,10828153.18,1.85E-07,6.648584938,,3.63E-01,5.34E-01,3.25E+00
57.87037,0.08,45279931.46,10436989.86,1.86E-07,,5002558,0.08,45439202.55,10433359.68,1.79E-07,6.659947517,,3.52E-01,3.48E-02,3.77E+00
57.87037,0.085,45450200.01,9967442.809,1.79E-07,,5002558,0.085,45595338.75,9829229.346,1.73E-07,6.672227952,,3.19E-01,1.39E+00,3.41E+00
57.87037,0.09,45631956.54,9316097.803,1.73E-07,,5002558,0.09,45757985.08,8993222.743,1.67E-07,6.685387025,,2.76E-01,3.47E+00,3.73E+00
57.87037,0.095,45820042.27,8434211.556,1.67E-07,,5002558,0.095,45925417.36,7888802.236,1.60E-07,6.699338431,,2.30E-01,6.47E+00,4.18E+00
57.87037,0.1,46012303.82,7285910.191,1.60E-07,,5002558,0.1,46094985.64,6560425.503,1.53E-07,6.713937404,,1.80E-01,9.96E+00,4.12E+00
57.87037,0.105,46202161.29,5910290.495,1.53E-07,,5002558,0.105,46263872.91,5132772.949,1.47E-07,6.728982584,,1.34E-01,1.32E+01,4.03E+00
57.87037,0.11,46387543.56,4463147.755,1.46E-07,,5002558,0.11,46429045.15,3786308.008,1.40E-07,6.744236706,,8.95E-02,1.52E+01,3.84E+00
57.87037,0.115,46563205.18,3156557.616,1.40E-07,,5002558,0.115,46588056.91,2656933.589,1.34E-07,6.759461821,,5.34E-02,1.58E+01,4.15E+00
57.87037,0.12,46729240.67,2130457.516,1.34E-07,,5002558,0.12,46739115.53,1803604.898,1.28E-07,6.774451925,,2.11E-02,1.53E+01,4.27E+00
57.87037,0.125,46882881.95,1405225.939,1.28E-07,,5002558,0.125,46881266.11,1205556.944,1.23E-07,6.789051743,,3.45E-03,1.42E+01,4.12E+00
57.87037,0.13,47026248.37,927093.3795,1.22E-07,,5002558,0.13,47014164.24,809548.4852,1.18E-07,6.803158626,,2.57E-02,1.27E+01,3.66E+00
57.87037,0.135,47157916.94,625029.3756,1.17E-07,,5002558,0.135,47137935.24,556049.538,1.13E-07,6.816714367,,4.24E-02,1.10E+01,3.68E+00
57.87037,0.14,47280659.07,438320.127,1.13E-07,,5002558,0.14,47252967.3,397751.8524,1.08E-07,6.829693455,,5.86E-02,9.26E+00,4.24E+00
57.87037,0.145,47393328.22,324289.3725,1.08E-07,,5002558,0.145,47359797.88,300078.9314,1.04E-07,6.842092385,,7.07E-02,7.47E+00,3.67E+00
57.87037,0.15,47498685.74,255021.2095,1.04E-07,,5002558,0.15,47459018.51,240426.3539,1.00E-07,6.853921382,,8.35E-02,5.72E+00,3.68E+00
57.87037,0.155,47595529.21,213059.0622,1.00E-07,,5002558,0.155,47551227.83,204111.0222,9.66E-08,6.865198659,,9.31E-02,4.20E+00,3.41E+00
57.87037,0.16,47686462.43,187664.2102,9.69E-08,,5002558,0.16,47637000.36,182100.363,9.33E-08,6.875946636,,1.04E-01,2.96E+00,3.77E+00
57.87037,0.165,47770180.28,172304.1893,9.36E-08,,5002558,0.165,47716873.5,168762.4182,9.01E-08,6.886189576,,1.12E-01,2.06E+00,3.69E+00
57.87037,0.17,47849123.51,163013.7724,9.06E-08,,5002558,0.17,47791341.19,160696.7321,8.73E-08,6.895952143,,1.21E-01,1.42E+00,3.69E+00
57.87037,0.175,47921901.14,157394.9983,8.77E-08,,5002558,0.175,47860853.42,155816.1727,8.46E-08,6.905258571,,1.27E-01,1.00E+00,3.57E+00
57.87037,0.18,47990811.9,153996.095,8.51E-08,,5002558,0.18,47925817.88,152866.051,8.21E-08,6.914132203,,1.35E-01,7.34E-01,3.58E+00
57.87037,0.185,48054403.86,151940.0028,8.26E-08,,5002558,0.185,47986602.99,151081.5186,7.97E-08,6.922595263,,1.41E-01,5.65E-01,3.51E+00
57.87037,0.19,48114855.47,150695.9057,8.03E-08,,5002558,0.19,48043541.4,150002.6393,7.75E-08,6.930668761,,1.48E-01,4.60E-01,3.49E+00
57.87037,0.195,48170675.65,149943.1078,7.81E-08,,5002558,0.195,48096933.5,149349.9896,7.54E-08,6.938372485,,1.53E-01,3.96E-01,3.41E+00
57.87037,0.2,48223940.39,149487.4818,7.61E-08,,5002558,0.2,48147050.84,148955.2839,7.35E-08,6.945725033,,1.59E-01,3.56E-01,3.42E+00
57.87037,0.205,48273136.6,149211.7116,7.42E-08,,5002558,0.205,48194139.16,148716.4709,7.17E-08,6.95274387,,1.64E-01,3.32E-01,3.39E+00
57.87037,0.21,48320251.64,149044.762,7.23E-08,,5002558,0.21,48238421.25,148571.994,7.00E-08,6.959445396,,1.69E-01,3.17E-01,3.21E+00
57.87037,0.215,48363763.49,148943.6909,7.07E-08,,5002558,0.215,48280099.4,148484.5611,6.84E-08,6.965845014,,1.73E-01,3.08E-01,3.29E+00
57.87037,0.22,48405581.43,148882.4897,6.91E-08,,5002558,0.22,48319357.65,148431.6501,6.69E-08,6.971957202,,1.78E-01,3.03E-01,3.24E+00
57.87037,0.225,48444184.46,148845.4309,6.76E-08,,5002558,0.225,48356363.72,148399.6232,6.54E-08,6.977795579,,1.81E-01,3.00E-01,3.20E+00
57.87037,0.23,48481411.88,148822.9866,6.61E-08,,5002558,0.23,48391270.74,148380.2367,6.41E-08,6.983372965,,1.86E-01,2.98E-01,3.04E+00
57.87037,0.235,48515751.21,148809.3936,6.48E-08,,5002558,0.235,48424218.74,148368.4999,6.28E-08,6.98870144,,1.89E-01,2.96E-01,3.05E+00
57.87037,0.24,48548978.08,148801.1597,6.35E-08,,5002558,0.24,48455336.02,148361.3938,6.16E-08,6.993792396,,1.93E-01,2.96E-01,2.95E+00
57.87037,0.245,48579594.23,148796.1723,6.24E-08,,5002558,0.245,48484740.3,148357.0908,6.05E-08,6.998656587,,1.95E-01,2.95E-01,3.05E+00
57.87037,0.25,48609316.61,148793.1507,6.12E-08,,5002558,0.25,48512539.78,148354.4851,5.94E-08,7.003304168,,1.99E-01,2.95E-01,2.89E+00
57.87037,0.255,48636665.48,148791.3202,6.02E-08,,5002558,0.255,48538834.05,148352.907,5.84E-08,7.007744742,,2.01E-01,2.95E-01,2.95E+00
57.87037,0.26,48663303.13,148790.2111,5.91E-08,,5002558,0.26,48563714.9,148351.9513,5.75E-08,7.011987391,,2.05E-01,2.95E-01,2.76E+00
57.87037,0.265,48687771.59,148789.5391,5.82E-08,,5002558,0.265,48587267.08,148351.3723,5.66E-08,7.016040714,,2.06E-01,2.94E-01,2.81E+00
57.87037,0.27,48711681.77,148789.1319,5.73E-08,,5002558,0.27,48609568.9,148351.0216,5.57E-08,7.019912855,,2.10E-01,2.94E-01,2.78E+00
57.87037,0.275,48733599.93,148788.8852,5.64E-08,,5002558,0.275,48630692.87,148350.8092,5.49E-08,7.023611533,,2.11E-01,2.94E-01,2.66E+00
57.87037,0.28,48755088.35,148788.7357,5.56E-08,,5002558,0.28,48650706.13,148350.6805,5.41E-08,7.027144069,,2.14E-01,2.94E-01,2.64E+00
57.87037,0.285,48774739.35,148788.645,5.49E-08,,5002558,0.285,48669671.02,148350.6025,5.34E-08,7.030517406,,2.15E-01,2.94E-01,2.73E+00
57.87037,0.29,48794068.9,148788.5901,5.41E-08,,5002558,0.29,48687645.4,148350.5553,5.27E-08,7.033738136,,2.18E-01,2.94E-01,2.56E+00
57.87037,0.295,48811696.68,148788.5568,5.34E-08,,5002558,0.295,48704683.07,148350.5266,5.21E-08,7.03681252,,2.19E-01,2.94E-01,2.51E+00
57.87037,0.3,48829094.43,148788.5366,5.28E-08,,5002558,0.3,48720834.12,148350.5093,5.14E-08,7.039746504,,2.22E-01,2.94E-01,2.57E+00
57.87037,0.305,48844910.1,148788.5244,5.22E-08,,5002558,0.305,48736145.21,148350.4988,5.09E-08,7.042545739,,2.23E-01,2.94E-01,2.57E+00
57.87037,0.31,48860573,148788.517,5.16E-08,,5002558,0.31,48750659.82,148350.4924,5.03E-08,7.045215598,,2.25E-01,2.94E-01,2.52E+00
57.87037,0.315,48874759.93,148788.5125,5.10E-08,,5002558,0.315,48764418.58,148350.4885,4.98E-08,7.047761189,,2.26E-01,2.94E-01,2.40E+00
57.87037,0.32,48888859.45,148788.5098,5.05E-08,,5002558,0.32,48777459.39,148350.4862,4.93E-08,7.050187374,,2.28E-01,2.94E-01,2.42E+00
57.87037,0.325,48901577.5,148788.5081,5.00E-08,,5002558,0.325,48789817.72,148350.4848,4.88E-08,7.052498775,,2.29E-01,2.94E-01,2.39E+00
57.87037,0.33,48914263.42,148788.5071,4.95E-08,,5002558,0.33,48801526.75,148350.4839,4.84E-08,7.054699795,,2.30E-01,2.94E-01,2.31E+00
57.87037,0.335,48925652.41,148788.5065,4.91E-08,,5002558,0.335,48812617.53,148350.4834,4.79E-08,7.056794622,,2.31E-01,2.94E-01,2.38E+00
57.87037,0.34,48937056,148788.5061,4.86E-08,,5002558,0.34,48823119.17,148350.4831,4.75E-08,7.058787247,,2.33E-01,2.94E-01,2.20E+00
57.87037,0.345,48947238.57,148788.5059,4.83E-08,,5002558,0.345,48833058.95,148350.4829,4.71E-08,7.060681467,,2.33E-01,2.94E-01,2.38E+00
57.87037,0.35,48957475.19,148788.5058,4.79E-08,,5002558,0.35,48842462.46,148350.4828,4.68E-08,7.062480902,,2.35E-01,2.94E-01,2.32E+00
57.87037,0.355,48966559.19,148788.5057,4.75E-08,,5002558,0.355,48851353.75,148350.4827,4.64E-08,7.064188998,,2.35E-01,2.94E-01,2.21E+00
57.87037,0.36,48975730.47,148788.5056,4.72E-08,,5002558,0.36,48859755.38,148350.4827,4.61E-08,7.06580904,,2.37E-01,2.94E-01,2.27E+00
57.87037,0.365,48983810.97,148788.5056,4.69E-08,,5002558,0.365,48867688.56,148350.4826,4.58E-08,7.067344156,,2.37E-01,2.94E-01,2.29E+00
57.87037,0.37,48992006.67,148788.5056,4.65E-08,,5002558,0.37,48875173.23,148350.4826,4.55E-08,7.068797329,,2.38E-01,2.94E-01,2.07E+00
57.87037,0.375,48999167.64,148788.5056,4.63E-08,,5002558,0.375,48882228.16,148350.4826,4.53E-08,7.070171401,,2.39E-01,2.94E-01,2.23E+00
57.87037,0.38,49006467.19,148788.5056,4.60E-08,,5002558,0.38,48888870.99,148350.4826,4.50E-08,7.07146908,,2.40E-01,2.94E-01,2.14E+00
57.87037,0.385,49012782.94,148788.5056,4.57E-08,,5002558,0.385,48895118.34,148350.4826,4.48E-08,7.072692948,,2.40E-01,2.94E-01,2.02E+00
57.87037,0.39,49019256.73,148788.5056,4.55E-08,,5002558,0.39,48900985.87,148350.4826,4.46E-08,7.073845466,,2.41E-01,2.94E-01,2.08E+00
57.87037,0.395,49024793.11,148788.5056,4.53E-08,,5002558,0.395,48906488.32,148350.4826,4.43E-08,7.074928979,,2.41E-01,2.94E-01,2.11E+00
57.87037,0.4,49030503.64,148788.5056,4.51E-08,,5002558,0.4,48911639.57,148350.4826,4.41E-08,7.075945723,,2.42E-01,2.94E-01,2.12E+00
57.87037,0.405,49035319.07,148788.5056,4.49E-08,,5002558,0.405,48916452.73,148350.4826,4.40E-08,7.076897829,,2.42E-01,2.94E-01,2.09E+00
57.87037,0.41,49040321.89,148788.5056,4.47E-08,,5002558,0.41,48920940.14,148350.4826,4.38E-08,7.077787327,,2.43E-01,2.94E-01,2.03E+00
57.87037,0.415,49044468.25,148788.5056,4.45E-08,,5002558,0.415,48925113.43,148350.4826,4.36E-08,7.078616154,,2.43E-01,2.94E-01,1.95E+00
57.87037,0.42,49048812.77,148788.5056,4.44E-08,,5002558,0.42,48928983.59,148350.4826,4.35E-08,7.079386153,,2.44E-01,2.94E-01,2.06E+00
57.87037,0.425,49052336.17,148788.5056,4.42E-08,,5002558,0.425,48932560.97,148350.4826,4.33E-08,7.080099082,,2.44E-01,2.94E-01,1.93E+00
57.87037,0.43,49056066.37,148788.5056,4.41E-08,,5002558,0.43,48935855.33,148350.4826,4.32E-08,7.080756617,,2.45E-01,2.94E-01,1.99E+00
57.87037,0.435,49059007.78,148788.5056,4.40E-08,,5002558,0.435,48938875.87,148350.4826,4.31E-08,7.081360351,,2.45E-01,2.94E-01,2.03E+00
57.87037,0.44,49062162.8,148788.5056,4.39E-08,,5002558,0.44,48941631.28,148350.4826,4.30E-08,7.081911804,,2.46E-01,2.94E-01,2.05E+00
57.87037,0.445,49064558.63,148788.5056,4.38E-08,,5002558,0.445,48944129.75,148350.4826,4.29E-08,7.082412423,,2.45E-01,2.94E-01,2.04E+00
57.87037,0.45,49067173.35,148788.5056,4.37E-08,,5002558,0.45,48946379,148350.4826,4.28E-08,7.082863585,,2.46E-01,2.94E-01,2.02E+00
57.87037,0.455,49069055.93,148788.5056,4.36E-08,,5002558,0.455,48948386.3,148350.4826,4.27E-08,7.083266602,,2.46E-01,2.94E-01,1.97E+00
