t,r,N_n,N_t,C_h,pH,,,,,
5000000,0.11,47169050.42,1712921.859,1.12E-07,6.952325631,,,,,
5000000,0.115,47294588.26,1142982.777,1.07E-07,6.971781375,,,,,
5000000,0.12,47411361.58,768848.7575,1.02E-07,6.990699506,,,,,
5000000,0.125,47519572.87,530155.9371,9.80E-08,7.008992171,,,,,
5000000,0.13,47619656.46,381660.6394,9.41E-08,7.026615168,,,,,
5000000,0.135,47712172.74,290067.0078,9.05E-08,7.043554086,,,,,
5000000,0.14,47797718.84,234213.9474,8.71E-08,7.059813383,,,,,
5000000,0.145,47876887.4,200188.8943,8.41E-08,7.075408849,,,,,
5000000,0.15,47950239,179579.2484,8.12E-08,7.090362535,,,,,
5000000,0.155,48018292.11,167079.5,7.86E-08,7.104699568,,,,,
5000000,0.16,48081518.67,159522.1534,7.61E-08,7.11844617,,,,,
5000000,0.165,48140344.98,154945.591,7.39E-08,7.131628493,,,,,
5000000,0.17,48195154.24,152179.139,7.17E-08,7.14427196,,,,,
5000000,0.175,48246290.29,150504.6196,6.98E-08,7.156400914,,,,,
5000000,0.18,48294061.47,149492.0951,6.79E-08,7.168038466,,,,,
5000000,0.185,48338744.51,148879.264,6.62E-08,7.179206447,,,,,
5000000,0.19,48380588.02,148508.5588,6.46E-08,7.189925435,,,,,
5000000,0.195,48419815.76,148284.1713,6.31E-08,7.200214806,,,,,
5000000,0.2,48456629.47,148148.3883,6.16E-08,7.210092807,,,,,
5000000,0.205,48491211.45,148066.1875,6.03E-08,7.219576635,,,,,
5000000,0.21,48523726.68,148016.4303,5.91E-08,7.228682513,,,,,
5000000,0.215,48554324.88,147986.3034,5.79E-08,7.237425767,,,,,
5000000,0.22,48583142.1,147968.0626,5.68E-08,7.245820892,,,,,
5000000,0.225,48610302.27,147957.0164,5.57E-08,7.253881615,,,,,
5000000,0.23,48635918.45,147950.3269,5.47E-08,7.261620959,,,,,
5000000,0.235,48660094.01,147946.2754,5.38E-08,7.269051286,,,,,
5000000,0.24,48682923.61,147943.8214,5.29E-08,7.276184352,,,,,
5000000,0.245,48704494.06,147942.3348,5.21E-08,7.283031345,,,,,
5000000,0.25,48724885.14,147941.4343,5.13E-08,7.289602925,,,,,
5000000,0.255,48744170.25,147940.8888,5.06E-08,7.295909258,,,,,
5000000,0.26,48762417.02,147940.5583,4.99E-08,7.301960046,,,,,
5000000,0.265,48779687.87,147940.358,4.92E-08,7.307764561,,,,,
5000000,0.27,48796040.48,147940.2366,4.86E-08,7.313331662,,,,,
5000000,0.275,48811528.22,147940.1631,4.80E-08,7.318669825,,,,,
5000000,0.28,48826200.53,147940.1186,4.74E-08,7.323787163,,,,,
5000000,0.285,48840103.27,147940.0916,4.69E-08,7.328691444,,,,,
5000000,0.29,48853279.01,147940.0752,4.64E-08,7.33339011,,,,,
5000000,0.295,48865767.34,147940.0653,4.59E-08,7.337890295,,,,,
5000000,0.3,48877605.09,147940.0593,4.55E-08,7.342198835,,,,,
5000000,0.305,48888826.55,147940.0556,4.50E-08,7.346322292,,,,,
5000000,0.31,48899463.72,147940.0534,4.46E-08,7.350266955,,,,,
5000000,0.315,48909546.43,147940.0521,4.43E-08,7.354038863,,,,,
5000000,0.32,48919102.57,147940.0513,4.39E-08,7.35764381,,,,,
5000000,0.325,48928158.18,147940.0508,4.35E-08,7.361087356,,,,,
5000000,0.33,48936737.64,147940.0505,4.32E-08,7.364374842,,,,,
5000000,0.335,48944863.77,147940.0503,4.29E-08,7.367511394,,,,,
5000000,0.34,48952557.94,147940.0502,4.26E-08,7.370501934,,,,,
5000000,0.345,48959840.19,147940.0501,4.23E-08,7.373351188,,,,,
5000000,0.35,48966729.32,147940.0501,4.21E-08,7.376063695,,,,,
5000000,0.355,48973242.97,147940.0501,4.18E-08,7.378643814,,,,,
5000000,0.36,48979397.71,147940.05,4.16E-08,7.381095731,,,,,
5000000,0.365,48985209.12,147940.05,4.14E-08,7.383423463,,,,,
5000000,0.37,48990691.82,147940.05,4.11E-08,7.385630871,,,,,
5000000,0.375,48995859.59,147940.05,4.10E-08,7.38772166,,,,,
5000000,0.38,49000725.38,147940.05,4.08E-08,7.389699388,,,,,
5000000,0.385,49005301.39,147940.05,4.06E-08,7.391567471,,,,,
5000000,0.39,49009599.09,147940.05,4.04E-08,7.393329187,,,,,
5000000,0.395,49013629.3,147940.05,4.03E-08,7.394987683,,,,,
5000000,0.4,49017402.21,147940.05,4.01E-08,7.39654598,,,,,
5000000,0.405,49020927.43,147940.05,4.00E-08,7.398006977,,,,,
5000000,0.41,49024214.02,147940.05,3.99E-08,7.399373453,,,,,
5000000,0.415,49027270.5,147940.05,3.98E-08,7.400648077,,,,,
5000000,0.42,49030104.92,147940.05,3.96E-08,7.401833406,,,,,
5000000,0.425,49032724.89,147940.05,3.95E-08,7.402931896,,,,,
5000000,0.43,49035137.55,147940.05,3.95E-08,7.403945898,,,,,
5000000,0.435,49037349.65,147940.05,3.94E-08,7.404877667,,,,,
5000000,0.44,49039367.56,147940.05,3.93E-08,7.405729365,,,,,
5000000,0.445,49041197.29,147940.05,3.92E-08,7.406503063,,,,,
5000000,0.45,49042844.48,147940.05,3.92E-08,7.407200743,,,,,
5000000,0.455,49044314.48,147940.05,3.91E-08,7.407824306,,,,,
5000000,0.46,49045612.31,147940.05,3.91E-08,7.40837557,,,,,
5000000,0.465,49046742.7,147940.05,3.90E-08,7.408856276,,,,,
5000000,0.47,49047710.1,147940.05,3.90E-08,7.409268089,,,,,
5000000,0.475,49048518.71,147940.05,3.89E-08,7.409612604,,,,,
5000000,0.48,49049172.48,147940.05,3.89E-08,7.409891342,,,,,
5000000,0.485,49049675.11,147940.05,3.89E-08,7.410105761,,,,,
5000000,0.49,49050030.08,147940.05,3.89E-08,7.410257252,,,,,
5000000,0.495,49050240.65,147940.05,3.89E-08,7.410347143,,,,,
5000000,0.5,49050309.88,147940.05,3.89E-08,7.410376703,,,,,
